N,rep,method,est,ci_half,theta_true
500,3,baseline,-0.811329037,0.1057054000538287,-0.694612153
500,4,oracle,-0.676785916,0.04536446554792024,-0.675971068
500,4,proposed,-0.670261027,0.07543044319322159,-0.675971068
500,4,baseline,-0.788242702,0.11018141180119245,-0.675971068
500,5,oracle,0.8325835751774309,0.046576093140016955,0.8101314953256213
500,5,proposed,0.7278160995980457,0.07530031119890476,0.8101314953256213
500,5,baseline,0.7063840692033598,0.09081140544487325,0.8101314953256213
500,6,oracle,0.5489432489571747,0.046976004669651086,0.5380533579043218
500,6,proposed,0.588306306418341,0.07628239089429177,0.5380533579043218
500,6,baseline,0.41030184280896465,0.09304362641079693,0.5380533579043218
500,7,oracle,-0.584341174,0.04599338037454363,-0.585565981
500,7,proposed,-0.562391138,0.0749496091199064,-0.585565981
500,7,baseline,-0.583396176,0.10513027237353603,-0.585565981
500,8,oracle,-0.878713937,0.043570231014551014,-0.88621192
500,8,proposed,-0.893479291,0.07713594635844517,-0.88621192
500,8,baseline,-0.887778846,0.11422844195770034,-0.88621192
500,9,oracle,0.8876191135370413,0.045468776557303685,0.8858398957766198
500,9,proposed,0.9236761882160659,0.0796744074234024,0.8858398957766198
500,9,baseline,0.8798652137341938,0.09380976198466834,0.8858398957766198
500,10,oracle,-1.004417306,0.04386739784681457,-0.972966639
500,10,proposed,-1.021343635,0.07124659461326657,-0.972966639
500,10,baseline,-1.050874082,0.10303697400179537,-0.972966639
500,11,oracle,-0.742713388,0.04580091747919543,-0.740529478
500,11,proposed,-0.732307283,0.06286496574081518,-0.740529478
500,11,baseline,-0.766431213,0.08866062755845712,-0.740529478
500,12,oracle,-0.451835123,0.04071348673862613,-0.431082524
500,12,proposed,-0.475915815,0.06366908413069812,-0.431082524
500,12,baseline,-0.537686604,0.08981544286591617,-0.431082524
500,13,oracle,0.97661605976786,0.0437086925642842,0.912416946921975
500,13,proposed,0.9775275503046352,0.07331300257044684,0.912416946921975
500,13,baseline,0.859854178146017,0.088558380769512,0.912416946921975
500,14,oracle,0.6201190101271534,0.041658040528769306,0.6530242258593686
500,14,proposed,0.6097448766699898,0.07740479003550624,0.6530242258593686
500,14,baseline,0.6643333410656028,0.100111175384026,0.6530242258593686
500,15,oracle,-0.968228747,0.04633612787548422,-0.993946155
500,15,proposed,-0.908295318,0.07391739650356854,-0.993946155
500,15,baseline,-1.005221046,0.10166895161741982,-0.993946155
500,16,oracle,-0.42831842,0.04730299901294911,-0.468160651
500,16,proposed,-0.461400815,0.07296275672504343,-0.468160651
500,16,baseline,-0.477821285,0.09947757476734938,-0.468160651
500,17,oracle,0.7400849570444064,0.04612306696175808,0.7221153746149063
500,17,proposed,0.6973792365835172,0.07617259530547035,0.7221153746149063
500,17,baseline,0.6297747001675513,0.09624916149989642,0.7221153746149063
